meeting,extractive,abstractive
ES2002a.A,"and i like whales . they come in and go eat everything in sight . you have more complicated characters like european languages , then you need more buttons . one factor would be production cost . ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. The team then discussed various features to consider in making the remote. 
ES2002a.B,"this is the kick off meeting for our project . we're designing a new remote control and as you can see it's supposed to be original , trendy and user friendly . and there are three different stages to the design . we're gonna have like individual work and then a meeting about it . and repeat that process three times . you get to draw your favourite animal and sum up your favourite characteristics of it . m my favourite animal is my own dog at home . he's very friendly and cheery and always pleased to see you , according to the brief we're gonna be selling this remote control for twenty five euro , and we don't want it to cost any more than twelve fifty euros , fifty percent of the selling price . i imagine it probably is our sale actually because it's probably up to the the retailer to sell it for whatever price they want . do you think the fact that it's going to be sold internationally will have a bearing on how we design it like how much does , a remote control cost . twenty five euro , that's that's about like eighteen pounds don't know how good a remote control that would get you . but i suppose it has to look and gimmicky . right , do you think that should be like a main design aim of our remote control d do your satellite and your regular telly and your v_c_r_ and everything ? extra functionalities . you keep losing them . w you get those ones where you can , if you like , whistle or make a really high pitched noise they beep . like a touch screen inbetween now and then , as the industrial designer , you're gonna be working on the actual working design of it for user interface , technical functions , and marketing executive , you'll be just thinking about what it actually what , what requirements it has to fulfil it's th the functional design stage is next , you probably want some unique selling point of it , ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. The project manager talked about the project finances and selling prices. The team then discussed various features to consider in making the remote. 
ES2002a.C,"my favourite animal would be a monkey . then they're small cute and furry , my parents went out and bought remote controls because they got fed up of having four or five different remote controls for each things the house . for them it was just how many devices control . ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. 
ES2002a.D,"my favourite animal is like   a beagle . right , high priority for any animal for me is that they be willing to take a lot of physical affection from their family . and , that they have lots of personality but selling price is that wholesale or retail ? right away i'm wondering if there's th like with d_v_d_ players , if there are zones . as as characters , different keypad styles and s symbols . i'm thinking the price might appeal to a certain market in one region , whereas in another it'll be different , thinking , trendy probably means something other than just basic , thi is this gonna to be like the premium product kinda thing or don't think of remote controls as somethin something people consciously assess in their purchasing habits . one way of looking at it would be , the people producing television sets , they have to buy remote controls . or another way is people who have t_v_ sets are really fed up with their remote control and they really want a better one in function one of the priorities might be to combine as many uses what we could use is a like a example of a successful other piece technology is palm pilots . wonder if we might add something new to the remote control market , we could think about how , could be more , streamlined . s or whatever would be technologically reasonable . are we at ma right now on the assumption that our television remote control may have features which go beyond the television ? or are we keeping like a design commitment to television features ? ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. The project manager talked about the project finances and selling prices. The team then discussed various features to consider in making the remote. 
ES2002b.A,"which is the clunky one , the one on left or on the right?. . it'll be the mid range to the high end market , in terms of people . twenty five euros for a remote , how much is that lo locally in pounds ? is that a lot of money to buy an extra remote or a replacement remote ? not the high end range , but middle , middle up ish . twenty five to thirty five is fair to add that in as a group as these are people who are gadgety , right ? one thing we should try not to avoid is not to say we have to use speech recognition right now , because based on what you've go y everybody's saying , right , you want something simple . speech recognition might not be the simplest thing for somebody to use . but what i'm saying is that we're trying to lock ourselves into a s particular technology , rather than focusing on exactly what are the features that we're gonna say , and then , say speech recognition is good for this , speech recognition is not good for this . but at end of the day we don't look at the technology , but we look at the function first . this is just the working design guess i try to define like what we're doing now , but we're we can't n we haven't narrowed down exactly what the things we're trying to fulfil , like back in the back of our minds we the basics are . has to change channels , has to change volume , but in like specifics , right , which one of the basics are you trying to target . i'll go into the diagram first . it just explains how the process goes through , from the basic technology point of view , the basic steps that you need you need some power source . a battery to keep it going . and that power source is important because it ties you down to how long the device will last . like voice recognition , right . that might be constrained because that you might need to power a microphone , that's one perhaps constraint there . th the basic thing is there's a user interface and that picks up an input from a user , a series of logic has to decide what the user is telling the device , and then it needs to be able to send the signal out to the device itself like voice recognition , right , if it's something which is important then we just add more power rather than having a thing that we don't have enough power . you wanna go back to what the functions are ? w i'm done . you have a transmitter , an input device , logic chip , these aren't technology options in that sense . a basic principles and basic components that are needed . each component represents one function , but the basic functions are the logic , the transmitter , and the receiver , and the power are things that you won't have to care about . there might be one other consideration which would be that the transmission between the remote control and the t_v_ are we gonna restrict ourselves to using the traditional technologies of infra red thing ? because that's something you need to actually be physically be pointing to . right . if somebody's gonna h talk to the device , you ideally want them to hold it to them . because if you're using infra red , the line of sight say the t_v_'s at that chair , and i'm standing in front of here and the transmitter is here , it blocks it . there's not much specific information , from a component point of view there's added complexity , and you add cost to it , you need a docking cradle , for you to put it in to charge . or you need to get the user to plug it in . and most users are very f use already used to the idea of buying batteries and putting it into the controller . then i don't think rechargeable is something we should we really need to care about . another thing that you were saying about categorising the controls ? could suggest we break them down into three simple categories . one would be audio controls , one would be video controls , and the other one would be a device . it's something they do other things to like turn it on and turn it off . like what we could have is like three buckets , right , where we could throw things into , and then from there decide whether it's basic , or it's non basic . device is anything which we can't categorise , right . and then video is anything that you can see . ",The user interface designer presented two existing products and discussed what was wrong with each product. The marketing expert presented consumer preferences and requirements and the team discussed who their target demographic should be and whether to include speech recognition in their product. The industrial designer discussed the interior workings of a remote and the team discussed various options for components and energy sources. The team then discussed features to include in the remote and what they could do to figure out how to categorize them. 
ES2002b.B,"we've got half an hour for this one to discuss the functional design . and i've put the minutes of the last meeting in the project folder . guess just to recap on what we did last time . got to know each other a little bit and got familiar with all the equipment and started to discuss bit about the project , cost wise how much money we had to s just want to tell you that you have three new requirements , which is the first one is that the company's decided that teletext is outdated because of how popular the internet is . we don't really need to consider that in the functionality of the remote control . they've also suggested that we we only use the remote control to control the television , not the v_c_r_ , d_v_d_ or anything else . the worry is that if the project becomes too complex then it'll affect how long it takes us to get it into production , the time to market . we're just gonna keep it simple and it'll just control the t_v_ . and the other thing was that the company want the corporate colour and slogan to be implemented in the new design . i'm not entirely what the corporate colour is . it might be yellow , because there seems to be a lot of yellow everywhere . th because on the company website , what does it say do they is that something they want actually written on it , it's quite long . those are the three things , just not to worry about teletext , only control the t_v_ , and and incorporate the colour and slogan of the company . time for presentations then . think it's a valid point . like the one on the left looks quite quite complicated , see why yo you might prefer the simpler design , you get a lot of remote controls where you flip the thing open , and then actual numbers for channels as god , i wou i would say that's required , there's no way anybody's gonna buy a remote control these days when if you can't actually individually select channels , any like display controls do you think we need to worry about , far , just to recap you've got volume and channel control and and then just things that would be if it could do would be things like audio set up and display set up and things like that , like a mute button , hard to where your role ends , it you wanna group all the different types of functions together , one of the things that we have to decide on by the end of the meeting is who we're gonna be who's our target audience , our target market . if we want something that looks good and is easy to use , but has y is fairly powerful product , whatever , who do we really want to aim that at ? who wou who would have the money to spend . it's somebody who's not gonna just use the remote that comes with their telly , i suppose , do you think then voice recognition is something we should really consider ? we are gonna have to narrow it down , and there needs to be some selling point to it . if we are going to include speech recognition , it's between fifteen and thirty five seems to be like a really high response to that . fifteen to thirty five , look fairly young . they'll not sh not shy away from something quite high tech . shall we make the decision to include speech recognition might have been a good idea to all deliver our presentations and then discuss , is if we make it speech reco if we incorporate speech recognition , that's appealing to people with a physical disability as do you think we need like further advances in that area until it's worthwhile incorporating it though ? do you wan do you wanna finish up your whole presentation then ? worry that was expressed in the new requirements was that if we made this too complex it would e it would effect how long it took us to get this to market , th suspect it might be a good idea just to restrict our our creative influence on this on the user interface because it's tried and tested intra red , we could stay with tha in the new requirement spec they said just to focus on the t_v_ , is it worth considering like having like a charging unit as opposed to just regular batteries ? or should we just consider running on regular batteries ? just stick to regular i'm just gonna just recap what i said at the start , was that the whole point of this meeting was to f finalise who we're gonna aim this at , are we all happy about the idea of aiming the product at the fifteen to thirty five bracket ? and also the funct the actual functions of what it's gonna do . it's as optional functions . and then we're gonna have thirty minutes of working on the next stage . guess just to confirm that we we're doing in the next in the thirty minutes after lunch anyway , for our industrial designer , you're gonna be thinking about the components concept . user interface designer gonna be thinking about our user interface , and marketing you're gonna be thinking about trend watching . and you'll all get specific instructions as that's definitely a good idea . you're gonna have audio which is gonna be like your bass settings and actual volume hi brightness , contrast , things like that , guess just things to think about are like the fact it's gotta look good , something quirky in design make it ergonomic to hold , ",The project manager briefed the team on some new requirements to consider when designing the remote. The team discussed how to create a remote which did not include the problems present in the existing products presented by the interface specialist. The marketing expert presented consumer preferences and requirements and the team discussed who their target demographic should be and whether to include speech recognition in their product. The industrial designer discussed the interior workings of a remote and the team discussed various options for components and energy sources. The team then discussed features to include in the remote and what they could do to figure out how to categorize them. 
ES2002b.C,"this is the technical functions design . to do the the design i have i've had a look online , i've had a look at the homepage , i've had a look at the previous products to see what they offer having a look at the existing products , i found out that it tends to come in two extremes , there's either very complicated one that's got lots of buttons , lots of colours , very confusing , you don't you're doing . in that case the labelling tends to be very bad . here the button there and there . that one's perg and that one's prog , and it doesn't really tell you what it does . not if you had a look at the other control in that example . it's a very simple one . it's got only the basic functions but it's the same size as the hard to use one . it looked a bit clunky . they're very big and not very much use for buttons . and it's just very hard to access the advanced functions . my own preferences , i prefer the clunky one . believe the advanced functions should be hidden in a drawer , now i'd like to ask for your preferences . the clunky one is the one on the right . think it's supposed to be the same size , but it's got much fewer buttons . do we have any functions that we'd want on it ? far i've got on and off , switch the channel up and down , and put the volume up and down . you say that's a h a required one or a requested one ? we need to find out exactly what we have to have and after that we can add things if they're possible . there's on and off , volume and channel , and skip to certain channels with the numbers . i reckon one problem with speech recognition is you end up yelling at the control for hours . i've actually seen one of them used and the technology that was in that one wasn't particularly amazing , it'd probably quite expensive to put in . we just say that it was gonna be the most basic possible . on off , up and down channels , up and down volume and skip to a channel . we include mute , but apart from that think we just we'll go for the simpleness . ",The user interface designer presented two existing products and discussed what was wrong with each product. The team discussed how to create a remote which did not include the problems present in the existing products presented by the interface specialist. The marketing expert presented consumer preferences and requirements and the team discussed who their target demographic should be and whether to include speech recognition in their product. The team then discussed features to include in the remote and what they could do to figure out how to categorize them. 
ES2002b.D,"and the slogan , like the actual written slogan , or just to embody the idea of the slogan ? 'bout putting the fashion in electronics . think es essentially what we're doing right now is we're categorising . we're saying we want this to be a product that offers all the more tricky features but we want them to be in another area ? one way i would look at this would be that we a approach the different controls in terms of like control types , that for the user it's very clear what they want to do where they go . and also think little bit about sorta w what would just wanna be acc easily accessible . if we had audio controls , those could be something people set up very rarely . they're un they're they're in a little area but covered up things like channel and volume are used all the time , we just have them right out on top , we need to think about having three or more groupings of controls , like one which are just the habitual ones that should be right within your natural grip . and then others that are concealed . whether this is for good or for bad but there'll be a lot of redundancy in the issues and the the things . what i've already started doing is cr i created a slide in my presentation here that we think what's the cumulative effect of what we've taken from your ideas and mine , what you've just told me impacts a lot on what like market research that i've been before i bring this up what i'll just say is what i've done is tried to collect some information that then relay this to you guys that it's now becomes a collective thing . and then lead us in the direction of deciding , what are our options , what should we decide what i got is looked into some information and th tried to think about how we could review it and what decisions we could take away from it i'm thinking here about primarily about customer needs , and what are issues with existing products . and also about try and connect that as you see with the company vision this is what i've found here , users dislike the look and feel of current remote controls . most people find them ugly . the vast majority would spend more money for it to look fancy as we'll see later , the vast majority would spend more money for slightly more intuitive control , such as voice recognition . most people use only a f a very slim portion of all the controls . they tend to use the most simple controls if for me this is sorta like three different inspirations , one is that we want something that's high tech but we want it to seem easy . and in spite of the primitive side of it and the very high tech side , we want it to just be an appealing piece of equipment in people's hands . they get lost a lot , takes time to learn how to use them . and i will admit i don't r_s_i_ stands for . adults at least would pay more for voice recognition . now we do have access to all the tech cutting edge technology in remote control . if that's possible we might consider getting into it . recurring theme here is the company wants it to be wants us to make something that's fashionable and sleek and trendy . they like the aesthetics and the ergonomics . my hope here is that i'm putting out this information that we can then say how do we collectively move on with it . haven't brought out one specific marketing idea , where's the money , mostly focused around the twenty five age group . young professional , it does fit with the market that we're identifying , could it be an on off thing ? it's good to get ideas out while they're fresh in mind . and also it helps in terms of people not losing this , since we're on the topic of the technology , are there any like what are our options ? is this the only way that we go about it , or are there other thin does c is our controller is it have the option of being on a standard frequency as all of the other equipment , that's good . and is it going to include any of the the more advanced features , is it not an option still that we include some things just as a under like under a door or some what i'm i'd be a bit worried about is if someone was h had previously developed habits of expecting to control surround sound or this and that with their controller and then they , w they get ours and w it's doesn't have that . great . shall we agree for sake of clarity and when we r resume that we'll u use this idea david's proposed , where we think of these three buckets and anything we discuss about them is we're talking about this . and then k i suppose quite likely what would happen is in the d device category there might be some which are just like the habitual standard ",The project manager briefed the team on some new requirements to consider when designing the remote. The team discussed how to create a remote which did not include the problems present in the existing products presented by the interface specialist. The user interface designer presented two existing products and discussed what was wrong with each product. The marketing expert presented consumer preferences and requirements and the team discussed who their target demographic should be and whether to include speech recognition in their product. The industrial designer discussed the interior workings of a remote and the team discussed various options for components and energy sources. The team then discussed features to include in the remote and what they could do to figure out how to categorize them. 
ES2002c.A,"like you said time to market was a problem , and how many components are physically in there in cost . and the power is factor of that . and the lower components , the power , the logic , the transmitter , and the infrared , they affect you in terms of the size of your device , guess three things , cost , complexity , and the size . i'm not very about the voice thing got another email and it was quite sketchy on what n the voice options are . it said it could talk to you , but it never said anything about being able to listen . i it said something about a sensor but never clarified that . your basic components are buttons , and you have a wheel available , like a mouse scroll wheel , there's an l_c_d_ display , then there's how the case actually looks . it can actually be flat or it can be curved , and then the different types of materials that you can use , don't think you can use them in a combination , think plastic and rubber would be fine , but plastic , rubber , and wood , the rubber was a restriction on the power source you could use , but the titanium had a different things on the shape of the thing , but it might be easier from a cost perspective and a complexity just to use one . and the other components are logic chips , again i'll go back to the component chips . the com how complex or how easy the logic is , it depends on how many functions you have on the unit don't think the logic chip has a issue about size they should be about the same size . power consumption should be about the same . and the other thing is the power options . the first one is a standard battery . the second one is more of a gimmick then actually a useable thing , it's a wind up a crank .  but that might be something that's more of a look and feel decision because i don't think you can have one power source if you're using the alternative power sources . whatever it is you still need a battery the other ones are a solar powered cell , and the kinetic one for me is the most interesting one you have you had those balls , those stress balls where you bounce the ball and it lights up and it goes , that might be a gimmick combined with rubber . that's more in the sense of small and slim in terms of comfortable not small you can't , like a phone too small phone . the less components we use and the simpler the components means you reduce your cost and you increase your profit . and also the time to market and the complexity of developing designing and debugging it the user interface restrictions means that if you use more complicated features , like the buttons are standard the l_c_d_ panel and the scroll wheel you need more complicated logic . the case with a rubber case you can't have the solar panels . titanium case can't be curved , it has to be square . there's no restriction on the plastic , and on the wood . think we could because the l_c_d_ panel requires power , and the l_c_d_ is a form of a light that's why the option of the kinetic thing which means as long as you shake it like a watch , like an automatic watch it's probably sensitive enough when you fiddle it . do we need an l_c_d_ display ? what would we achieve from it ? that will be a problem because we don't have an input device to get the listings into it , where would you physically position the buttons ? glowing yellow type case where the yellow is showable , or there might be a light running through it like a mouse . but because the case is transparent it gives it a little bit of a glow , doesn't make it freaky . the question is when you're rolling it , how do you wanna roll it ? in a mouse your hand's in a position to roll it , whereas the other thing about having it jog dial this way , it tends to get moved accidentally . can you imagine you have to scroll a lot . it might work for volume , and some of the brightness controls and like that , but not for channels right . that might have one problem in terms of in terms of whether you're left handed or you're right handed you might be locking yourself in . a slide , because then you don't have to put the hand . feel like fruit . ","The industrial designer presented options for materials, components, and batteries and discussed the restrictions involved in using certain materials. The team then discussed options for the shape and color scheme of the remote, as well as what components, batteries, and materials to use. "
ES2002c.B,"i'll just recap on the minutes from the last meeting . decided on our target group being fifteen to thirty five , and we decided that it was gonna be non rechargeable battery powered , that we're gonna group our audio visual and other functions into those categories , and i told you guys about the three new requirements about ignoring teletext , ignoring everything except the t_v_ , and trying to incorporate the corporate colour and slogan . should also point out that the the final objective of this meeting is to reach a decision on the concepts of the product . it's yellow like a phone like the backlight in a phone . something quite curvy ? about how if you have a bright colour you'll not lose it much . and when the corporate colour is yellow , we could think about the colour of the whole product being yellow was kinda thinking about as how you get these shock resistant mobile phones , and they're plastic but then also have like rubber on the outside , and it kinda feels it feels warmer to the touch . it feels a bit more comfortable , and we could incorporate plastic and rubber into it . the fact that it talks to you , it might be quite if when you first start using it says , what is it , putting fashion into electronics also would that work if we wanted to incorporate an l_c_d_ display , where would we put that ? would we put that on the inside or it's bound to increase the cost of it a lot , i would've thought . i would say no need for a talk back . mean do you wanna group them into s head of the snowman , body of the snowman , inside of the snowman , energy what do you think that's suggesting we're how we're powering the thing ? i really like the idea of this kinetic thing where you'd have the back up of the battery , but have kinetic power , i know we're gonna have like rubber buttons s like cur slightly transparent case , it's yellow , like tinted yellow , but you can see through it . and the other thing was can we think of any way of getting the slogan into this thing ? the next meeting's gonna be in thirty minutes , know that the designers are gonna be working with play doh on that . ","The project manager recapped the decisions made in the previous meeting. The team then discussed options for the shape and color scheme of the remote, as well as what components, batteries, and materials to use. "
