meeting,extractive,abstractive
Bdb001.A,"you 're essentially defining a lattice . that 's actually very nicely handled here because you could all you 'd have to change is the , time stamps in the time line without , changing the i ds . except the time line is gonna be huge . suppose you have a phone level alignment . do they already have something that 's that would be useful for us in place ? if it 's conceptually close , and they already have or will have tools that everybody else will be using , it would be crazy to do something s separate that it seems to me you want to keep the frame level separate . now how would you represent , multiple speakers in this framework ? but how in the nist format do we express a hierarchical relationship between , say , an utterance and the words within it ? f say , one segmentation is in terms of , sentences . and another segmentation is in terms of , i don't know , prosodic phrases . and let 's say that they don't nest . but , when it comes to annotations , you often find yourself in the situation where you have different annotations of the same , say , word sequence . and sometimes the word sequences even differ slightly because they were edited s at one place but not the other . but , see , if you 'd annotate dialogue acts , you don't necessarily want to or topics you don't really want to be dealing with time marks . and you want some tool , that is able to merge these different annotations back into a single , version . but once you have a file format , imagine writing not personally , but someone writing a tool that is essentially an alignment tool , that mediates between various versions , ",
Bdb001.B,,
Bdb001.C,"we i already have developed an xml format for this tha it has a single time line , and then you have a bunch of times . and then , i also wanted to be i to be able to not specify specifically what the time was and just have a stamp . and then somewhere la further down you might have something like an utterance tag which has "" start equals t seventeen , what that 's saying is , we know it starts at this particular time . you could have some other tag later in the file that would be something like , i don't know , "" noise type equals door slam "" . and then , you could either say "" time equals a particular time mark "" or you could do other sorts of references . it 's parsing limitations . i don't want to have this text file that you have to read in the whole thing to do something very simple for . for word level , this would be for lower than word level , you 're talking about much data that don't know . or any frame level would use p file . it 's ics icsi has a format for frame level representation of features . or there 's a particular way in xml to refer to external resources . more compact , because you have a two gigabyte limit on most o ss . think it 's debatable whether you want to do phone level in the same thing . but a anything at frame level , even p file , is too verbose . it 's whatever you want , actually . built into it is the concept of frames , utterances , sentences , that thing , that structure . and then also attached to it is an arbitrary vector of values . and we have a lot of tools already to deal with it . man pages and , source code , and me . it 's something that we developed at icsi . and , we have a configured system that you can distribute for free , we should look at atlas , the nist thing , th there are two choices . your file format can know about know that you 're talking about language and speech , which is what i chose , and time , or your file format can just be a graph representation . and then the application has to impose the structure on top . what it looked like atlas chose is , they chose the other way , which was their file format is just nodes and links , and you have to interpret what they mean yourself . and it was better if you 're looking at a raw file to be t for the tags to say "" it 's an utterance "" , as opposed to the tag to say "" it 's a link "" . i chose this for a couple reasons . one of them is that it 's easy to parse .  what nist would say is that instead of doing this , you would say something like "" link start equals , some node id , end equals some other node id "" , and then "" type "" would be "" utterance "" . they 're developing a big infrastructure . the last time i looked at it was a while ago , probably a year ago , and specifically they didn't have any external format representation at that time . they just had the conceptual node annotated transcription graph , since then , they 've developed their own external file format , and they 've also developed a lot of tools , but i haven't looked at them . should . th what would what would worry me is that we might miss a little detail 'll take a closer look at it . the other thing the other way that i established this was as easy translation to and from the transcriber format . with this , though , is that you can't really add any supplementary information . there 's a spea speaker tag up at the top which identifies them the way i had it is each turn or each utterance , i don't even remember now , had a speaker id tag attached to it . you would have another structure lower down than this that would be saying they 're all belonging to this id . 'm i had better look at it again i 'm pretty that you can do that , but i 'm forgetting the exact level of nesting . there 's a standard again in xml , specifically for searching xml documents structured x xml documents , where you can specify both the content and the structural position . it 's you would use that to build your tool to do that search . no matter what format you choose , you 're gonna have the trou you 're gonna have the difficulty of relating the frame level features one of the things that atlas is doing is they 're trying to define an api which is independent of the back store , that , you could define a single api and the storage could be flat xml files or a database . my opinion on that is for the s that we 're doing , i suspect it 's overkill to do a full relational database , that , just a flat file and , search tools i bet will be enough . 'm just a little hesitant to try to go whole hog on the whole framework that nist is talking about , with atlas and a database and all that cuz it 's a big learning curve , just to get going . if you wanted to use the structured xml query language , that 's a different thing . what you would do is , someone would build a tool that used that as a library . ","On the one hand, a bespoke XML structure that connects transcriptions and annotations (down to the word-level) to a common timeline. The respective frame-level representation can be handled by P-files, a technology developed at ICSI, which also comes with a library of tools. Separation of levels of analysis makes files more compact and manageable. Phone-level analysis can be included in the same structure, or in a separate, linked file. Two main options were discussed as to the organisation of the collected data. On the other hand, the ATLAS (NIST) technology offers a very similar, but more generic organisational scheme based on nodes and links. Its advantages are that it is easier to read, parse, map onto the Transcriber format and to expand with extra features. These are labeled with domain specific types, like ""utterance"" or ""speaker"". This option offer well-developed infrastructure and flexibility as to the type of data storage (flat XML files or relational database). XML standards offer libraries that can be used for the development of search tools. "
Bdb001.C,"i have to look at it again to see whether it can really do what we want , but if we use the atlas external file representation , it seems like it 's rich enough that you could do quick tools just as i said in perl , and then later on if we choose to go up the learning curve , we can use the whole atlas inter infrastructure , th the reason i like p file is i 'm already familiar with it , but , it is just something we developed at icsi . there 's an api for it . a bunch of libraries , p file utilities . i don't see any way that file formats are gonna help us with that . the hard part isn't the file format . the hard part is specifying what by "" merge "" . ","The respective frame-level representation can be handled by P-files, a technology developed at ICSI, which also comes with a library of tools. "
Bdb001.D,"but what 's the advantage of doing that versus just putting it into this format ? p file for each frame is storing a vector of cepstral or plp values , what about , the idea of using a relational database to , store the information from the xml ? which allows you to do all kinds of good search things in there . ",
Bdb001.E,"if we tie the overlap code to the first word in the overlap , then you 'll have a time marking . it won't it 'll be independent of the time bins , however these e evolve , shrink , or whatever , ",
Bdb001.F,"and the main thing that i was gonna ask people to help with today is to give input on what kinds of database format we should use in starting to link up things like word transcripts and annotations of word transcripts , anything that transcribers or discourse coders or whatever put in the signal , with time marks for words and phone boundaries and all the we get out of the forced alignments and the recognizer . and what do you do if you just conceptually , if you get , transcriptions where the words are staying but the time boundaries are changing , cuz you 've got a new recognition output , or s what 's the , sequence of going from the waveforms that stay the same , the transcripts that may or may not change , and then the utterance which where the time boundaries that may or may not change ? that you could call that you would tie into this representation with like an id . these are long meetings these are big files . but something standard enough that , if we start using this we can give it out , other people can work on it , but it would be good to get something that we can that other people can use or adopt for their own kinds of encoding . and especially for the prosody work , what it ends up being is you get features from the signal , you want to recompute your features , and then keep the database up to date . or you change a word , or you change a utterance boundary segment , which is gonna happen a lot . and wanted something where all of this can be done in a elegant way and that if somebody wants to try something or compute something else , that it can be done flexibly . it just has to be , easy to use , and can you but you can add to those structures if you you have to make a different type . we would be taking the format and enriching it with things that we wanna query in relation to the words that are already in the file , the two goals . one that chuck mentioned is starting out with something that we don't have to start over , that we don't have to throw away if other people want to extend it for other kinds of questions , and being able to at least get enough , information out on where we condition the location of features on information that 's in the file that you put up there . ","Two main options were discussed as to the organisation of the collected data. In either case, it is important for the chosen format to allow for fast searches, flexible updates and, if possible, be reusable in future work. Its advantages are that it is easier to read, parse, map onto the Transcriber format and to expand with extra features. "
Bmr001.A,,
Bmr001.B,,
Bmr001.C,,
Bmr002.A,,
Bmr002.B,,
Bmr002.C,,
Bmr002.D,,
Bmr008.A,,
Bmr008.B,,
Bmr008.C,,
Bmr008.D,,
Bmr008.E,,
Bmr008.F,,
Bmr009.A,"and i was just going to say that right now we 're just exploring . what you would imagine eventually , is that you 'll feed all of these features into some discriminative system . and even if one of the features does a good job at one type of overlap , another feature might do a good job at another type of overlap . this was the problem with these categories , i picked those categories from timit . 'm not what to do about the region field for english variety . but i don't know how to i don't know how to categorize them . did you guys get my email on the multitrans ? i have a version also which actually displays all the channels . the what the ones i applied , that you can actually do are dan 's , because it doesn't slow it down . no , the one that 's installed is fine . it 's not slow i wrote another version . which , instead of having the one pane with the one view , it has multiple panes with the views . but the problem with it is the drawing of those waveforms is slow that every time you do anything it just crawls . just about anything , and it was slow it was not usable . that the one dan has is usable enough . it doesn't display the others . it displays just the mixed signal . but you can listen to any of them . not if we 're going to use tcl tk at least not if we 're going to use snack . and it 's really it 's not too bad to find places in the stream where things are happening . if one of us sat down and coded it , that it could be displayed fast enough i 'm they would be quite willing to incorporate it . but it 's not a trivial task . ","Participants also reviewed the latest iteration of speaker forms, and discussed recent changes to the Transcriber tool. "
Bmr009.B,"when i presented my results about the distribution of overlaps and the speakers and the profiles of the speakers , at the bottom of that i did have a proposal , and i had plan to go through with it , of co coding the types of overlaps that people were involved in s just with reference to speaker style with reference that it 's like people may have different amounts of being overlapped with or overlapping but that in itself is not informative without knowing what types of overlaps they 're involved in was planning to do a taxonomy of types overlaps with reference to that . and this 'll be a hav having the multiwave will be a big help ",Participants discussed alternate strategies for examining energy and the importance of categorizing types of speaker overlap. 
