meeting,original,extractive,abstractive
ES2002a.A,"hi , i'm david and i'm supposed to be an industrial designer . got the project announcement about what the project is . designing a remote control . that's about it , didn't get anything else . did you get the same thing ?    there's too much gear .   can't draw .   anyway , i don't know , it's just the first animal think off the top of my head . yes . big reason is i'm allergic to most animals . allergic to animal fur , fish was a natural choice .  and i like whales . they come in and go eat everything in sight . and they're quite harmless and mild and interesting . tail's a bit big ,    it's an after dinner dog then .   it does make sense from the design point of view you have more complicated characters like european languages , then you need more buttons . possibly .   and you keep losing them . finding them is really a pain , it's usually quite small , or when you want it right , it slipped behind the couch or it's kicked under the table .    one factor would be production cost . because there's a cap there , depends on how much you can cram into that price . that's the main factor .  ","and i like whales . they come in and go eat everything in sight . you have more complicated characters like european languages , then you need more buttons . one factor would be production cost . ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. The team then discussed various features to consider in making the remote. 
ES2002a.B," right this is the kick off meeting for our project . and this is just what we're gonna be doing over the next twenty five minutes . first of all , just to make that we all know each other , i'm laura and i'm the project manager . do you want to introduce yourself again ?  great .  we're designing a new remote control and have to record who's here actually . that's david , andrew and craig , isn't it ? and you all arrived on time . des design a new remote control . as you can see it's supposed to be original , trendy and user friendly . that's our brief , as it were . and there are three different stages to the design . i'm not really what you guys have already received in your emails . what did you get ?  is that what everybody got ?   we're gonna have like individual work and then a meeting about it . and repeat that process three times . and at this point we get try out the whiteboard over there .  you get to draw your favourite animal and sum up your favourite characteristics of it . who would like to go first ? very good .    right . lovely .  right . you can take as long over this as you like , because we haven't got an awful lot to discuss .  we do we do don't feel like you're in a rush , anyway . ach why not we might have to get you up again then . i don't mine is . i'm gonna have to think on the spot now .  is that a whale ?   god , i still don't i'm gonna write about .  i was gonna choose a dog as but i'll just draw a different dog . m my favourite animal is my own dog at home .  that doesn't really look like him , actually . he looks more like a pig , actually .  do you ? that's very good of you .   he's a mixture of various things . and what do i like about him , that's just to suggest that his tail wags . he's very friendly and cheery and always pleased to see you , and very affectionate and  and he's quite wee as he can doesn't take up too much space .  and and he does a funny thing where he chases his tail as which is quite amusing , it is . it is . he only does it after he's had his dinner and he'll just all of a sudden just get up and start chasing his tail 'round the living room .      right , where did you find this ? just down here ?  what are we doing next ? we now need to discuss the project finance . according to the brief we're gonna be selling this remote control for twenty five euro , and we're aiming to make fifty million euro . ","this is the kick off meeting for our project . we're designing a new remote control and as you can see it's supposed to be original , trendy and user friendly . and there are three different stages to the design . we're gonna have like individual work and then a meeting about it . and repeat that process three times . you get to draw your favourite animal and sum up your favourite characteristics of it . m my favourite animal is my own dog at home . he's very friendly and cheery and always pleased to see you , according to the brief we're gonna be selling this remote control for twenty five euro , ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. The project manager talked about the project finances and selling prices. 
ES2002a.B,"we're gonna be selling this on an international scale . and we don't want it to cost any more than twelve fifty euros , fifty percent of the selling price .  all together . dunno . i imagine that's a good question . i imagine it probably is our sale actually because it's probably up to the the retailer to sell it for whatever price they want . but i don't know , do you think the fact that it's going to be sold internationally will have a bearing on how we design it think it will ?    regions and    for a remote control , do you think that will be i suppose it's depends on how complicated our remote control is .   what , just like in terms of like the wealth of the country ? like how much money people have to spend on things like ? aye , i see what marketing . good marketing thoughts . gosh , i should be writing all this down .    like how much does , a remote control cost . twenty five euro , that's that's about like eighteen pounds isn't it ? or no , is it as much as that ? sixteen seventeen eighteen pounds .  i've never bought a remote control , don't know how good a remote control that would get you . but i suppose it has to look and gimmicky . right , let me just scoot on ahead here .  does anybody have anything to add to to the finance issue thin no , actually . that would be useful , though , wouldn't it , if you knew like what your money would get you now .    five minutes to end of meeting .  we're a bit behind .  right , do you think that should be like a main design aim of our remote control d do your satellite and your regular telly and your v_c_r_ and everything ?   or even like , notes about what you wanna watch . like you might put in there want to watch such and look a that's a good idea . extra functionalities .    i'd wel we're gonna have to wrap up pretty quickly in the next couple of minutes . i'll just check we've nothing else  anything else anybody wants to add about what they don't like about remote controls they've used , what they would really like to be part of this new one you keep losing them .   w you get those ones where you can , if you like , whistle or make a really high pitched noise they beep . there is that something we'd want to include , do you think ? dunno .   my goodness . still feels quite primitive . like a touch screen   guess that's up to our industrial designer . it looks better .    right , just to wrap up the next meeting's gonna be in thirty minutes . that's about about ten to twelve by my watch . ","and we don't want it to cost any more than twelve fifty euros , fifty percent of the selling price . i imagine it probably is our sale actually because it's probably up to the the retailer to sell it for whatever price they want . do you think the fact that it's going to be sold internationally will have a bearing on how we design it like how much does , a remote control cost . twenty five euro , that's that's about like eighteen pounds don't know how good a remote control that would get you . but i suppose it has to look and gimmicky . right , do you think that should be like a main design aim of our remote control d do your satellite and your regular telly and your v_c_r_ and everything ? extra functionalities . you keep losing them . w you get those ones where you can , if you like , whistle or make a really high pitched noise they beep . like a touch screen ",The project manager talked about the project finances and selling prices. The team then discussed various features to consider in making the remote. 
ES2002a.B,"inbetween now and then , as the industrial designer , you're gonna be working on the actual working design of it what you're doing there . for user interface , technical functions , that's like what we've been talking about , what it'll actually do . and marketing executive , you'll be just thinking about what it actually what , what requirements it has to fulfil and you'll all get instructions emailed to you ,  it's th the functional design stage is next ,  and and that's the end of the meeting . got that little message a lot sooner than would ,   th  just very quickly this we're supposed to finish now . guess that's up to us , you probably want some unique selling point of it ,      right , we'll that's the end of the meeting , then .  all for coming . ","inbetween now and then , as the industrial designer , you're gonna be working on the actual working design of it for user interface , technical functions , and marketing executive , you'll be just thinking about what it actually what , what requirements it has to fulfil it's th the functional design stage is next , you probably want some unique selling point of it , ",The team then discussed various features to consider in making the remote. 
ES2002a.C,"i'm craig and i'm user interface .   my favourite animal would be a monkey .  then they're small cute and furry , and when planet of the apes becomes real , i'm gonna be up there with them .           i know my parents went out and bought remote controls because they got fed up of having four or five different remote controls for each things the house . for them it was just how many devices control .  ","my favourite animal would be a monkey . then they're small cute and furry , my parents went out and bought remote controls because they got fed up of having four or five different remote controls for each things the house . for them it was just how many devices control . ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. 
ES2002a.D," great . and i'm andrew and i'm our marketing expert .  that's it .  i will go . that's fine . alright .  this one here , right ? very alright . my favourite animal is like   a beagle .  charac favourite characteristics of it ? is that right ? right , high priority for any animal for me is that they be willing to take a lot of physical affection from their family . and , that they have lots of personality and be fit and in robust good health . this is blue . blue beagle . my family's beagle .   i coulda told you a whole lot more about beagles . boy , let me tell you . impressionist .  alright .  superb sketch ,   i see a dog in there .   now i see a rooster . what kind is it ?   is he aware that th it's his own cha tail he's chasing ?   probably when he was little he got lots of attention for doing it and has forever been conditioned .   can we just go over that again ? bas at twel alright , cost like production cost is twelve fifty , but selling price is that wholesale or retail ? like on the shelf . our sale anyway .    alright . yes .   right away i'm wondering if there's th like with d_v_d_ players , if there are zones . frequencies as as characters , different keypad styles and s symbols .  i don't know .    and then a and then al the other thing international is on top of the price . i'm thinking the price might appeal to a certain market in one region , whereas in another it'll be different , just a chara just a characteristic of the just or just like , basic product podi positioning , the twenty five euro remote control might be a big hit in london , might not be such a big hit in greece , who knows , something like that ,   right away i'm making some assumptions about what information we're given here , thinking , trendy probably means something other than just basic , something other than just standard . i'm wondering right away , is selling twenty five euros , is that the thi is this gonna to be like the premium product kinda thing or     i'd say  no .    do we have any other background information on like how that compares to other other   interesting thing about discussing production of a remote control for me is that l as you point out , don't think of remote controls as somethin something people consciously assess in their purchasing habits . it's just like getting shoelaces with shoes it just comes along . do what like like how do you one way of looking at it would be , the people producing television sets , they have to buy remote controls . ","my favourite animal is like   a beagle . right , high priority for any animal for me is that they be willing to take a lot of physical affection from their family . and , that they have lots of personality but selling price is that wholesale or retail ? right away i'm wondering if there's th like with d_v_d_ players , if there are zones . as as characters , different keypad styles and s symbols . i'm thinking the price might appeal to a certain market in one region , whereas in another it'll be different , thinking , trendy probably means something other than just basic , thi is this gonna to be like the premium product kinda thing or don't think of remote controls as somethin something people consciously assess in their purchasing habits . one way of looking at it would be , the people producing television sets , they have to buy remote controls . ",The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal. The project manager talked about the project finances and selling prices. The team then discussed various features to consider in making the remote. 
ES2002a.D,"or another way is people who have t_v_ sets are really fed up with their remote control and they really want a better one but right . right .  right , in function one of the priorities might be to combine as many uses    like what we could use is a like a example of a successful other piece technology is palm pilots . they're gone from being just like little scribble boards to cameras , m_p_ three players , telephones , everything , agenda . wonder if we might add something new to the remote control market , such as the lighting in your house , or   an  like , p personally for me , at home i've combined the the audio video of my television set and my d_v_d_ player and my c_d_ player . they w all work actually function together but i have different remote controls for each of them . it's ironic that then they're in there  the sound and everything it's just one system . but each one's got its own little part .      that's just really good id    i remember when the first remote control my family had was on a cable . actually had a cable between it and the t_v_ and big like buttons that like , like on a blender and when about what they are now , it's better , but actually it's still like a massive junky thing on the table . we could think about how , could be more , streamlined . s something like that , or whatever would be technologically reasonable . it could b it could be that f it could be that functionally that doesn't make it any better , but that just the appeal of not having these days there's a r pe things in people's homes are becoming more and more like chic , nicer materials and might be be worth exploring anyway .     before we wrap up , just to make we're all on the same page here , do we we were given an example of a coffee machine right ?   are we at ma right now on the assumption that our television remote control may have features which go beyond the television ? or are we keeping like a design commitment to television features ? i don't know .        alright .   ","or another way is people who have t_v_ sets are really fed up with their remote control and they really want a better one in function one of the priorities might be to combine as many uses what we could use is a like a example of a successful other piece technology is palm pilots . wonder if we might add something new to the remote control market , we could think about how , could be more , streamlined . s or whatever would be technologically reasonable . are we at ma right now on the assumption that our television remote control may have features which go beyond the television ? or are we keeping like a design commitment to television features ? ",The team then discussed various features to consider in making the remote. 
ES2002b.A," nope , we're all set . which is the clunky one , the one on left or on the right?. .     no . i'll add it later , the presentation .  no . no .   function f_ eight . function , the blue button . next to the control on the left .  you have to push it together .  nope . try that again .  there we go .  increase that we can't see the that's much better . there you go . bouncing on top . is installing a new remote control something that people it'll be the mid range to the high end market , in terms of people . twenty five euros for a remote , how much is that lo locally in pounds ? is that too is that a lot of money to buy an extra remote or a replacement remote ? right . not the high end range , but middle , middle up ish .  how much ?  you pay , what , ten quid for a remote ? like a simple replacement , right . if you lost your remote and the first thing you just wanna go out and get , would you how much would you pay ?   twenty five to thirty five is fair to add that in as a group as because that's more than half your group of people who are willing to at least try and use your technology .  perhaps that age group is significant as because those are people who use the computer , who are familiar with their with computers in their everyday work . people who are about i wouldn't say thirty five , but people who are about forty ish and above now would not be dependent and reliant on a computer or a mobile phone like that . these are people who are gadgety , right ? people who are u growing up used to , in schools and in universities , when you go on to their working lives , people who would regular   one thing we should try not to avoid is not to say we have to use speech recognition right now , because based on what you've go y everybody's saying , right , you want something simple . you want basic and you want something that's easy to use . speech recognition might not be the simplest thing for somebody to use .  but what i'm saying is that we're trying to lock ourselves into a s particular technology , rather than focusing on exactly what are the features that we're gonna say , and then , say speech recognition is good for this , speech recognition is not good for this . we should i suggest that we think about speech recognition , anyway it's a it's something that can be used to fulfil a function , but at end of the day we don't look at the technology , but we look at the function first .    ","which is the clunky one , the one on left or on the right?. . it'll be the mid range to the high end market , in terms of people . twenty five euros for a remote , how much is that lo locally in pounds ? is that a lot of money to buy an extra remote or a replacement remote ? not the high end range , but middle , middle up ish . twenty five to thirty five is fair to add that in as a group as these are people who are gadgety , right ? one thing we should try not to avoid is not to say we have to use speech recognition right now , because based on what you've go y everybody's saying , right , you want something simple . speech recognition might not be the simplest thing for somebody to use . but what i'm saying is that we're trying to lock ourselves into a s particular technology , rather than focusing on exactly what are the features that we're gonna say , and then , say speech recognition is good for this , speech recognition is not good for this . but at end of the day we don't look at the technology , but we look at the function first . ",The user interface designer presented two existing products and discussed what was wrong with each product. The marketing expert presented consumer preferences and requirements and the team discussed who their target demographic should be and whether to include speech recognition in their product. 
ES2002b.A,"do you mind passing me my notepad .    this is just the working design this is just what how i would go about it . guess i try to define like what we're doing now , try to define what we're trying to get done . think in a practical way , we it is . we've used it , we're familiar with it , but we're we can't n we haven't narrowed down exactly what the things we're trying to fulfil , like besides the basics , back in the back of our minds we the basics are . has to change channels , has to change volume , but in like specifics , right , which one of the basics are you trying to target . are there certain parts of the basics that are more important or less important than the basics ? and the idea is just to get everybody to i usually have a design that's there as a basic , things that to start everything going . but everybody does have some idea , don't think there's a need for that . this finding things is a little bit confusing , i'll go into the diagram first . it just explains how the process goes through , from a from the basic technology point of view , the basic steps that you need in the diagram and in this slide probably works better .  you need some power source . a battery to keep it going . and that power source is important because it ties you down to how long the device will last . it ties you down perhaps a bit later on in terms of the technologies how far you can transmit the signal or the complexity of the functions that you want . like voice recognition , right . that might be constrained because that you might need to power a microphone , you might need to power other things , that's one perhaps constraint there .  th the basic thing is there's a user interface where people punch a button or talk into it or smile to it or blink their eyes , whatever . and that picks up an input from a user , logic a series of logic has to decide what the user is telling the device , and the device has to r based on you push button a_ , will do something with button a_ . button a_ is the power button , and then it needs to be able to send the signal out to the device itself which is the receiver here . and that's about it in terms of my design it's fairly general , and the purpose of this is also not to restrict you in the way you're thinking , like voice recognition , right ,  if it's something which is important then we just add more power rather than having a thing that we don't have enough power . it's not really a constraint in that sense , ","this is just the working design guess i try to define like what we're doing now , but we're we can't n we haven't narrowed down exactly what the things we're trying to fulfil , like back in the back of our minds we the basics are . has to change channels , has to change volume , but in like specifics , right , which one of the basics are you trying to target . i'll go into the diagram first . it just explains how the process goes through , from the basic technology point of view , the basic steps that you need you need some power source . a battery to keep it going . and that power source is important because it ties you down to how long the device will last . like voice recognition , right . that might be constrained because that you might need to power a microphone , that's one perhaps constraint there . th the basic thing is there's a user interface and that picks up an input from a user , a series of logic has to decide what the user is telling the device , and then it needs to be able to send the signal out to the device itself like voice recognition , right , if it's something which is important then we just add more power rather than having a thing that we don't have enough power . ",The industrial designer discussed the interior workings of a remote and the team discussed various options for components and energy sources. 
ES2002b.A,"but these are functionally , the base , what the technology has to do . guess the rest of it we should you wanna go back to what the functions are ? that's more relevant to a discussion ? w i'm done . more or less .  ps it's just putting the rest of it into words , but it's essentially the same thing . you have a transmitter , an input device , logic chip , like that .  this would be  these aren't technology options in that sense . this is just a basic principles and basic components that are needed . if you needed if you needed to add voice recognition , right , then your user interface would be split , broken down into more components , right , which you have a microphone , the v_r_ and like that .   each component represents one function , but the basic functions are the logic , the transmitter , and the receiver , and the power are things that you won't have to care about . and those are things that based on what your user interface requires then we'll add more functionality to it . there might be one other consideration which would be that the transmission between the remote control and the t_v_ are we gonna restrict ourselves to using the traditional technologies of infra red thing ? because that's something you need to actually be physically be pointing to . right .  there might be one other problem with the transmission , in particular right now , since we're talking about voice recognition . if somebody's gonna h talk to the device , you ideally want them to hold it to them . i it you may not require that , but it's it's something very natural , to hold it , to signal to the user , and push a button to start s talking about it . then you need to send the signal out , because if you're using infra red , the line of sight say the t_v_'s at that chair , and i'm standing in front of here and the transmitter is here , it blocks it . in that sense , there's not really a restriction but it's something which you may have to think about later on in the process . not much further down . there's not much specific information , but that one indication of infra red mean that you're just targeting traditional devices . because infra red is something which everybody has .  there's a there's from a component point of view there's added complexity , and you add cost to it , and then there's probably the fact that you need another physical component . you need a docking cradle , for you to put it in to charge . or you need to get the user to plug it in . and most users are very f use already used to the idea of buying batteries and putting it into the controller . ","you wanna go back to what the functions are ? w i'm done . you have a transmitter , an input device , logic chip , these aren't technology options in that sense . a basic principles and basic components that are needed . each component represents one function , but the basic functions are the logic , the transmitter , and the receiver , and the power are things that you won't have to care about . there might be one other consideration which would be that the transmission between the remote control and the t_v_ are we gonna restrict ourselves to using the traditional technologies of infra red thing ? because that's something you need to actually be physically be pointing to . right . if somebody's gonna h talk to the device , you ideally want them to hold it to them . because if you're using infra red , the line of sight say the t_v_'s at that chair , and i'm standing in front of here and the transmitter is here , it blocks it . there's not much specific information , from a component point of view there's added complexity , and you add cost to it , you need a docking cradle , for you to put it in to charge . or you need to get the user to plug it in . and most users are very f use already used to the idea of buying batteries and putting it into the controller . ",The industrial designer discussed the interior workings of a remote and the team discussed various options for components and energy sources. 
