meeting,original,extractive,abstractive
Bdb001.A,"i remember seeing an example of this .   you 're essentially defining a lattice .  how that 's that 's actually very nicely handled here because you could all you 'd have to change is the , time stamps in the time line without , changing the i ds . except the time line is gonna be huge . if you say suppose you have a phone level alignment . you 'd have you 'd have why  but why not use it for phone level ? it 's just a matter of it being bigger . but if you have barring memory limitations , or w this is still the m no . you would use it only for purposes where you actually want the phone level information , i 'd imagine . you  or you just compre i like text formats .  b you can always , g zip them , and , c decompress them on the fly if y if space is really a concern . right ,  i would say frame level is probably not a good idea . but for phone level it 's perfectly like phones , or syllables , or anything like that . but most of the frames are actually not speech .  people don't v look at it , words times the average number of phones in an english word is , i don't know , five look at it , t number of words times five . that 's not that not exactly .  i 've used them . i don't their structure is . i 've forgot what the str   th we have actually , we use a generalization of the sphere format .  but there is something like that but it 's , probably not as sophist they ha it has its own entropic has their own feature format that 's called sd or some sf like that .  right .  do they already have tools ? as long as each tag is on one line .  if we want to do they already have something that 's that would be useful for us in place ? we should find out . it 's a hassle if if it 's conceptually close , and they already have or will have tools that everybody else will be using , it would be crazy to do something s separate that it seems to me you want to keep the frame level separate . and then now how would you represent , multiple speakers in this framework ? were you would just represent them as you would have like a speaker tag    is i ? channel or speaker or whatever . it doesn't right . but how in the nist format do we express a hierarchical relationship between , say , an utterance and the words within it ? how do you tell that these are the words that belong to that utterance ?    here 's the thing .  hhh . the thing ","you 're essentially defining a lattice . that 's actually very nicely handled here because you could all you 'd have to change is the , time stamps in the time line without , changing the i ds . except the time line is gonna be huge . suppose you have a phone level alignment . do they already have something that 's that would be useful for us in place ? if it 's conceptually close , and they already have or will have tools that everybody else will be using , it would be crazy to do something s separate that it seems to me you want to keep the frame level separate . now how would you represent , multiple speakers in this framework ? but how in the nist format do we express a hierarchical relationship between , say , an utterance and the words within it ? ",
Bdb001.A,"that some something may be a part of one thing for one purpose and another thing of another purpose .  s   s let 's ta let 's  y @ sup suppose you have a word sequence and you have two different segmentations of that same word sequence . f say , one segmentation is in terms of , sentences . and another segmentation is in terms of , i don't know , prosodic phrases . and let 's say that they don't nest . a prosodic phrase may cross two sentences i don't know if that 's true or not but let 's as right .  you want to be s you want to say this word is part of that sentence and this prosodic phrase . but the phrase is not part of the sentence and neither is the sentence part of the phrase . you would have to have two different pointers from the word up one level up , one to the sent right . right .  the o the other issue that you had was , how do you actually efficiently extract , find and extract information in a structure of this type ? you gave some examples like no , that 's not clear . you c you can do it , but can you do it it y you gotta do this you 're gonna want to do this very quickly or else you 'll spend all your time searching through very complex data structures  you want grep that 's that works at the structural on the structural representation . but it 's not clear that 's that 's relative to the structure of the xml document , not to the structure of what you 're representing in the document . right . right . be because here you 're specifying a lattice . the underlying that 's the underlying data structure . and you want to be able to search in that lattice . that 's different from searching through the text .  hhh .  but  but this is i 'm still , not convinced that you can do much on the text on the flat file that the text representation . e because the text representation is gonna be , not reflecting the structure of your words and annotations . it 's just it 's no . you have to what you have to do is you have to y you can use perl to read it in and construct a internal representation that is essentially a lattice . but , the and then right . but that 's what you 'll have to do . bec be    ma you should actually look at it yourself too to get a sense of what it is you 'll be dealing with , because , adam might have one opinion but you might have another ,  the more eyes look at this the better .  is there an ip api ?  there used to be a problem that they get too large , ","f say , one segmentation is in terms of , sentences . and another segmentation is in terms of , i don't know , prosodic phrases . and let 's say that they don't nest . ",
Bdb001.A,"and the the filesystem wouldn't you could extend the api to , support , like splitting up , conceptually one file into smaller files on disk that you can essentially , have arbitrarily long f   what does the p stand for anyway ? no , p files were around way before quicknet . p files were around when w with , rap . right ? you worked with p files . i worked with p files . no .  j there 's    it would be  gr this is regarding it 's related but not directly germane to the topic of discussion , but , when it comes to annotations , you often find yourself in the situation where you have different annotations of the same , say , word sequence .  and sometimes the word sequences even differ slightly because they were edited s at one place but not the other . once this data gets out there , some people might start annotating this for , i don't know , dialogue acts or , topics or what the heck .  there 's a zillion things that people might annotate this for . and the only thing that is really common among all the versi the various versions of this data is the word sequence , or approximately . or the times . but , see , if you 'd annotate dialogue acts , you don't necessarily want to or topics you don't really want to be dealing with time marks . you 'd it 's much more efficient for them to just see the word sequence , right ? most people aren't as sophisticated as we are here with , time alignments and   right .   the p my point is that you 're gonna end up with , word sequences that are differently annotated . and you want some tool , that is able to merge these different annotations back into a single , version .  and we had this problem very massively , at sri when we worked , a while back on , on dialogue acts as as , what was it ?  utterance types . there 's , automatic , punctuation and like that . because we had one set of annotations that were based on , one version of the transcripts with a particular segmentation , and then we had another version that was based on , a different s slightly edited version of the transcripts with a different segmentation . we had these two different versions which were you could tell they were from the same source but they weren't identical . it was extremely hard to reliably merge these two back together to correlate the information from the different annotations . no . no . but once you have a file format , imagine writing not personally , but someone writing a tool that is essentially an alignment tool , that mediates between various versions , and like th you have this thing in unix where you have , diff . ","but , when it comes to annotations , you often find yourself in the situation where you have different annotations of the same , say , word sequence . and sometimes the word sequences even differ slightly because they were edited s at one place but not the other . but , see , if you 'd annotate dialogue acts , you don't necessarily want to or topics you don't really want to be dealing with time marks . and you want some tool , that is able to merge these different annotations back into a single , version . but once you have a file format , imagine writing not personally , but someone writing a tool that is essentially an alignment tool , that mediates between various versions , ",
Bdb001.A,"there 's the , diff that actually tries to reconcile different two diffs f based on the same original . something like that , but operating on these lattices that are really what 's behind this this annotation format .  somewhere in the api you would like to have like a merge or some function that merges two versions . right . is exactly . right . just to let what we where we kluged it by , doing by doing hhh . both were based on words , bo we have two versions of the same words intersp sprinkled with different tags for annotations . and we did diff . exactly ! and that 's how  but , it had lots of errors and things would end up in the wrong order , and forth .   if you had a more  it was a kluge because it was reducing everything to to textual alignment .   and you 're gonna get that because if the data gets out , people will do all kinds of things to it . and , s several years from now you might want to look into , the prosody of referring expressions . and someone at the university of who knows where has annotated the referring expressions . you want to get that annotation and bring it back in line with your data .   right . time times are ephemeral .     or she .     for th for the benefit of science we 'll read the digits . ",,
Bdb001.B,"channel two .    true . i 've used the p file , i 've looked at it at least , briefly , when we were doing s something . in there . where are those annotations coming from ? ",,
Bdb001.C,"we had a long discussion about how much w how easy we want to make it for people to bleep things out .  morgan wants to make it hard . did it ? i didn't even check yesterday whether it was moving .  channel three ? channel three ?   it has a little indicator on it on the af .  test . what ? did you see hannibal recently  i 'm familiar with that . we i already have developed an xml format for this and the only question is it the thing that you want to use or not ? have you looked at that ? i had a web page up .  this am gonna be standing up and drawing on the board . it definitely had that as a concept . tha it has a single time line , and then you can have lots of different sections , each of which have i ds attached to it , and then you can refer from other sections to those i ds , if you want to . that ,  that you start with a time line tag . "" time line "" . and then you have a bunch of times . i don't e i don't remember exactly what my notation was , but it  "" t equals one point three two "" ,  and then i also had optional things like accuracy , and then "" id equals t one , one seven "" . and then , i also wanted to be i to be able to not specify specifically what the time was and just have a stamp . these are arbitrary , assigned by a program , not by a user . you have a whole bunch of those . and then somewhere la further down you might have something like an utterance tag which has "" start equals t seventeen , end equals t eighteen "" . what that 's saying is , we know it starts at this particular time . we don't know when it ends . right ? but it ends at this t eighteen , which may be somewhere else . we say there 's another utterance . we don't the t time actually is but we know that it 's the same time as this end time . thirty eight , whatever you want .  yes , exactly . and then , and then these also have i ds . right ? you could have some other tag later in the file that would be something like , i don't know , "" noise type equals door slam "" .  and then , you could either say "" time equals a particular time mark "" or you could do other sorts of references . or you might have a prosody "" prosody "" right ? d ? t ? d ? t ? t ? you like the d ? that 's a good d .  you could have some type here , ","we i already have developed an xml format for this tha it has a single time line , and then you have a bunch of times . and then , i also wanted to be i to be able to not specify specifically what the time was and just have a stamp . and then somewhere la further down you might have something like an utterance tag which has "" start equals t seventeen , what that 's saying is , we know it starts at this particular time . you could have some other tag later in the file that would be something like , i don't know , "" noise type equals door slam "" . and then , you could either say "" time equals a particular time mark "" or you could do other sorts of references . ","On the one hand, a bespoke XML structure that connects transcriptions and annotations (down to the word-level) to a common timeline. "
Bdb001.C,"and then you could have ,  the utterance that it 's referring to could be u seventeen like that .  right . that 's , the who that 's why you do that extra level of indirection . that you can just change the time line . yes . this i don't would do this for phone level . for phone level you want to use some binary representation because it 'll be too dense otherwise . i would use just an existing way of doing it . it 's parsing limitations . i don't want to have this text file that you have to read in the whole thing to do something very simple for . right . you 'd y i am imagining you 'd have multiple versions of this depending on the information that you want .  i 'm just what i 'm wondering is whether for word level , this would be for word level , it 's alright . for lower than word level , you 're talking about much data that don't know . i don't know if that for something like that i would use p file or any frame level would use p file . that 's a like it . it 's ics icsi has a format for frame level representation of features .  right . right . or there 's a particular way in xml to refer to external resources . you would say "" refer to this external file "" .  that external file wouldn't be in more compact , which is better . if you did it at this you don't want to do it with that anything at frame level you had better encode binary or it 's gonna be really painful . but if you 're talking about one per frame , you 're talking about gigabyte size files . you 're gonna actually run out of space in your filesystem for one file . right ? because you have a two gigabyte limit on most o ss .  think it 's debatable whether you want to do phone level in the same thing . but a anything at frame level , even p file , is too verbose . i would use something tighter than p files .  it 's whatever you want , actually . that what 's about the p file it i built into it is the concept of frames , utterances , sentences , that thing , that structure . and then also attached to it is an arbitrary vector of values . and it can take different types . it th they don't all have to be floats . you can have integers and you can have doubles , and all that  right ? and it has a header format that describes it to some extent .  the only problem with it is it 's actually storing the utterance numbers and the frame numbers in the file , even though they 're always sequential . ","it 's parsing limitations . i don't want to have this text file that you have to read in the whole thing to do something very simple for . for word level , this would be for lower than word level , you 're talking about much data that don't know . or any frame level would use p file . it 's ics icsi has a format for frame level representation of features . or there 's a particular way in xml to refer to external resources . more compact , because you have a two gigabyte limit on most o ss . think it 's debatable whether you want to do phone level in the same thing . but a anything at frame level , even p file , is too verbose . it 's whatever you want , actually . built into it is the concept of frames , utterances , sentences , that thing , that structure . and then also attached to it is an arbitrary vector of values . ","On the one hand, a bespoke XML structure that connects transcriptions and annotations (down to the word-level) to a common timeline. The respective frame-level representation can be handled by P-files, a technology developed at ICSI, which also comes with a library of tools. Separation of levels of analysis makes files more compact and manageable. Phone-level analysis can be included in the same structure, or in a separate, linked file. "
Bdb001.C,"and it does waste a lot of space . but it 's still a lot tighter than ascii . and we have a lot of tools already to deal with it .  there 's a ton of it . man pages and , source code , and me . it 's not standard . it 's something that we developed at icsi . but , but it 's been used here and , we have a configured system that you can distribute for free , and what does h t k do for features ? or does it even have a concept of features ? i 'm just wondering , would it be worth while to use that instead ? they generate their own . right . right . and a if you have a if you have a two hour long meeting , that 's gonna they 'd be emo enormous . right .  right . the other thing we should look at atlas , the nist thing , and see if they have anything at that level . i 'm not what to do about this with atlas , because they chose a different route . i chose something that th there are two choices . your file format can know about know that you 're talking about language and speech , which is what i chose , and time , or your file format can just be a graph representation . and then the application has to impose the structure on top . what it looked like atlas chose is , they chose the other way , which was their file format is just nodes and links , and you have to interpret what they mean yourself . because i knew that we were doing speech , and it was better if you 're looking at a raw file to be t for the tags to say "" it 's an utterance "" , as opposed to the tag to say "" it 's a link "" . but  they 're reasonably compatible .   the other thing is if we choose to use atlas , which we should just do , we should just throw this out before we invest a lot of time in it .   the only thing  i chose this for a couple reasons . one of them is that it 's easy to parse . you don't need a full xml parser . it 's very easy to just write a perl script to parse it . exactly . exactly . which i always do . i have it structured . right ? each type tag has only particular items that it can take .  if you have more information . what nist would say is that instead of doing this , you would say something like "" link start equals , some node id , end equals some other node id "" , and then "" type "" would be "" utterance "" . it 's very similar . write a translator . ","and we have a lot of tools already to deal with it . man pages and , source code , and me . it 's something that we developed at icsi . and , we have a configured system that you can distribute for free , we should look at atlas , the nist thing , th there are two choices . your file format can know about know that you 're talking about language and speech , which is what i chose , and time , or your file format can just be a graph representation . and then the application has to impose the structure on top . what it looked like atlas chose is , they chose the other way , which was their file format is just nodes and links , and you have to interpret what they mean yourself . and it was better if you 're looking at a raw file to be t for the tags to say "" it 's an utterance "" , as opposed to the tag to say "" it 's a link "" . i chose this for a couple reasons . one of them is that it 's easy to parse .  what nist would say is that instead of doing this , you would say something like "" link start equals , some node id , end equals some other node id "" , and then "" type "" would be "" utterance "" . ","The respective frame-level representation can be handled by P-files, a technology developed at ICSI, which also comes with a library of tools. Two main options were discussed as to the organisation of the collected data. On the other hand, the ATLAS (NIST) technology offers a very similar, but more generic organisational scheme based on nodes and links. Its advantages are that it is easier to read, parse, map onto the Transcriber format and to expand with extra features. These are labeled with domain specific types, like ""utterance"" or ""speaker"". "
Bdb001.C,"but it se since they are developing a big they 're developing a big infrastructure . and it seems to me that if we want to use that , we might as go directly to what they 're doing , rather than the i looked at it the last time i looked at it was a while ago , probably a year ago , when we first started talking about this . and at that time at least it was still not very complete . and specifically they didn't have any external format representation at that time . they just had the conceptual node annotated transcription graph , which i really liked . and that 's exactly what this is based on . since then , they 've developed their own external file format , which is , this this thing . and they 've also developed a lot of tools , but i haven't looked at them . should . th what would what would worry me is that we might miss a little detail that would make it very difficult to translate from one to the other . we might as  'll take a closer look at it . and right . the  the other thing the other way that i established this was as easy translation to and from the transcriber format .  but  it 's almost the same . with this , though , is that you can't really add any supplementary information . right ? if you suddenly decide that you want  you 'd have to make a different type . right . right .  right . right . huge .  there 's a spea speaker tag up at the top which identifies them and then each utt the way i had it is each turn or each utterance , i don't even remember now , had a speaker id tag attached to it . and in this format you would have a different tag , which would , be linked to the link . somewhere else you would have another thing that would be ,  let 's see , would it be a node or a link ?  and this one would have , an id is link seventy four like that . and then somewhere up here you would have a link that , was referencing l seventy four and had speaker adam .  like that . this isn't quite right . i have to look at it again . you would have another structure lower down than this that would be saying they 're all belonging to this id . right . and then each utterance could refer to a turn , and each turn could refer to something higher up . that 's why i didn't call it "" sentence "" .   you would have yet another tag . you 'd have another tag which says this is of type "" sentence "" . and , what right . you would have another tag somewhere . ","they 're developing a big infrastructure . the last time i looked at it was a while ago , probably a year ago , and specifically they didn't have any external format representation at that time . they just had the conceptual node annotated transcription graph , since then , they 've developed their own external file format , and they 've also developed a lot of tools , but i haven't looked at them . should . th what would what would worry me is that we might miss a little detail 'll take a closer look at it . the other thing the other way that i established this was as easy translation to and from the transcriber format . with this , though , is that you can't really add any supplementary information . there 's a spea speaker tag up at the top which identifies them the way i had it is each turn or each utterance , i don't even remember now , had a speaker id tag attached to it . you would have another structure lower down than this that would be saying they 're all belonging to this id . ","This option offer well-developed infrastructure and flexibility as to the type of data storage (flat XML files or relational database). Its advantages are that it is easier to read, parse, map onto the Transcriber format and to expand with extra features. "
Bdb001.C,"it 's there 're two ways of doing it . you could have some link type type equals "" sentence "" , and id is "" s whatever "" . and then lower down you could have an utterance . the type is "" utterance "" equals "" utt "" . and you could either say that no . i don't know i take that back . can you say that this is part of this , or do you say this is part of this ?   right . 'm i had better look at it again because i 'm there 's one level there 's one more level of indirection that i 'm forgetting . right . i 'm pretty that you can do that , but i 'm forgetting the exact level of nesting . what you would end up having is a tag saying "" here 's a word , and it starts here and it ends here "" . and then lower down you would say "" here 's a prosodic boundary and it has these words in it "" . and lower down you 'd have "" here 's a sentence , and it has these words in it "" .  think that 's that would wor let me look at it again .   right . that 's gonna be is the rising pitch a feature , or is it gonna be in the same file ? but the that 's gonna be hard regardless , right ? because you 're gonna have to write a program that goes through your feature file and looks for rising pitches .  in that case you would add that to this format r right . you have that . there 's a standard again in xml , specifically for searching xml documents structured x xml documents , where you can specify both the content and the structural position . you use it as a tool . you use it as a tool , not an end user . it 's not an end user thing . it 's you would use that to build your tool to do that search . it 's a graph , but  no , no . the whole point is that the text and the lattice are isomorphic . they represent each other completely . that th but that 's gonna be the trouble no matter what . right ? no matter what format you choose , you 're gonna have the trou you 're gonna have the difficulty of relating the frame level features  right . transfer . the , one of the things that atlas is doing is they 're trying to define an api which is independent of the back store , that , you could define a single api and the storage could be flat xml files or a database . ","'m i had better look at it again i 'm pretty that you can do that , but i 'm forgetting the exact level of nesting . there 's a standard again in xml , specifically for searching xml documents structured x xml documents , where you can specify both the content and the structural position . it 's you would use that to build your tool to do that search . no matter what format you choose , you 're gonna have the trou you 're gonna have the difficulty of relating the frame level features one of the things that atlas is doing is they 're trying to define an api which is independent of the back store , that , you could define a single api and the storage could be flat xml files or a database . ",XML standards offer libraries that can be used for the development of search tools. This option offer well-developed infrastructure and flexibility as to the type of data storage (flat XML files or relational database). 
